Scene,Pattern,Total,Mean,Std
Beijing_Beihuan,low_density,284,28.4,2.2
Beijing_Beihuan,fluctuating_commuter,444,44.4,2.1
Beijing_Beihuan,high_density,526,52.6,3.2
Beijing_Beihuan,random_perturbation,456,45.6,6.2
Beijing_Beihuan,increasing_demand,380,38.0,10.3
Beijing_Beishahe,low_density,210,21.0,1.9
Beijing_Beishahe,fluctuating_commuter,416,41.6,12.3
Beijing_Beishahe,high_density,674,67.4,2.2
Beijing_Beishahe,random_perturbation,440,44.0,11.1
Beijing_Beishahe,increasing_demand,476,47.6,16.6
Beijing_Changjianglu,low_density,284,28.4,2.2
Beijing_Changjianglu,fluctuating_commuter,474,47.4,21.4
Beijing_Changjianglu,high_density,584,58.4,2.2
Beijing_Changjianglu,random_perturbation,412,41.2,10.2
Beijing_Changjianglu,increasing_demand,478,47.8,14.6
Beijing_Gaojiaoyuan,low_density,284,28.4,1.5
Beijing_Gaojiaoyuan,fluctuating_commuter,458,45.8,15.6
Beijing_Gaojiaoyuan,high_density,700,70.0,2.5
Beijing_Gaojiaoyuan,random_perturbation,562,56.2,8.4
Beijing_Gaojiaoyuan,increasing_demand,546,54.6,18.7
Beijing_Pinganli,low_density,340,34.0,1.9
Beijing_Pinganli,fluctuating_commuter,546,54.6,18.8
Beijing_Pinganli,high_density,790,79.0,2.5
Beijing_Pinganli,random_perturbation,474,47.4,13.6
Beijing_Pinganli,increasing_demand,572,57.2,16.2
Beijing_Yongrunlu,low_density,358,35.8,2.5
Beijing_Yongrunlu,fluctuating_commuter,398,39.8,24.4
Beijing_Yongrunlu,high_density,770,77.0,2.5
Beijing_Yongrunlu,random_perturbation,550,55.0,12.7
Beijing_Yongrunlu,increasing_demand,534,53.4,20.0
Chengdu_Chenghannanlu,low_density,202,20.2,1.7
Chengdu_Chenghannanlu,fluctuating_commuter,318,31.8,10.6
Chengdu_Chenghannanlu,high_density,490,49.0,1.3
Chengdu_Chenghannanlu,random_perturbation,322,32.2,7.5
Chengdu_Chenghannanlu,increasing_demand,338,33.8,14.9
Chengdu_Guanghua,low_density,296,29.6,2.2
Chengdu_Guanghua,fluctuating_commuter,546,54.6,6.0
Chengdu_Guanghua,high_density,678,67.8,2.9
Chengdu_Guanghua,random_perturbation,468,46.8,4.7
Chengdu_Guanghua,increasing_demand,550,55.0,20.4
France_Massy,low_density,204,20.4,1.4
France_Massy,fluctuating_commuter,378,37.8,14.8
France_Massy,high_density,378,37.8,7.0
France_Massy,random_perturbation,420,42.0,7.2
France_Massy,increasing_demand,380,38.0,8.3
Hongkong_YMT,low_density,308,30.8,1.0
Hongkong_YMT,fluctuating_commuter,404,40.4,6.9
Hongkong_YMT,high_density,662,66.2,2.4
Hongkong_YMT,random_perturbation,446,44.6,6.6
Hongkong_YMT,increasing_demand,446,44.6,11.1
SouthKorea_Songdo,low_density,500,50.0,4.0
SouthKorea_Songdo,fluctuating_commuter,642,64.2,18.0
SouthKorea_Songdo,high_density,948,94.8,3.6
SouthKorea_Songdo,random_perturbation,872,87.2,13.5
SouthKorea_Songdo,increasing_demand,736,73.6,24.6
Tianjin_zhijingdao,low_density,392,39.2,1.5
Tianjin_zhijingdao,fluctuating_commuter,448,44.8,13.0
Tianjin_zhijingdao,high_density,706,70.6,4.1
Tianjin_zhijingdao,random_perturbation,610,61.0,8.7
Tianjin_zhijingdao,increasing_demand,506,50.6,19.4
