#{"t_start": 1780493233.3778324, "env_id": "None"}
r,l,t
-38.263333,147,15.881909
-38.736667,140,31.657151
-27.413333,143,48.711393
-41.15,147,87.425525
-28.293333,145,102.742027
-27.12,150,119.057558
-25.443333,145,160.028958
-27.656667,152,178.168235
-52.77,149,199.210225
-23.636667,150,217.194681
-34.716667,153,257.092299
-17.046667,158,275.345032
-36.026667,159,294.697077
-26.426667,162,335.729436
-34.06,164,355.00437
-26.243333,158,373.315796
-18.08,159,406.493587
-16.826667,168,425.852984
-18.89,171,446.54139
-15.71,169,480.503759
-12.97,173,499.642697
-13.92,174,519.250784
-11.096667,175,551.789994
-23.776667,169,571.427998
-18.753333,173,594.302164
-15.76,181,628.802608
-15.37,172,648.265956
-15.403333,174,667.587322
-13.486667,171,700.964742
-10.24,172,720.109598
-9.46,172,742.047355
-8.116667,176,774.831573
-7.986667,171,793.744431
-10.69,172,825.91045
-13.36,173,844.777653
-10.89,177,864.381033
-9.87,173,897.830563
-9.963333,172,916.638851
-9.246667,173,935.563925
-9.306667,174,967.866424
-9.303333,174,986.081724
-8.4,169,1005.064638
-9.86,171,1041.34514
-9.043333,174,1060.679716
-10.773333,171,1078.805854
-16.256667,170,1111.549705
-10.49,175,1129.395766
-10.506667,172,1148.986783
-7.466667,171,1182.268528
-9.29,174,1199.892349
-9.143333,172,1217.268167
-11.176667,170,1249.268368
-7.403333,172,1268.681824
-10.516667,169,1289.500714
-11.673333,166,1321.830606
-9.526667,169,1340.238554
-9.613333,168,1359.132128
-11.813333,171,1391.32457
-12.56,172,1410.878869
-13.85,170,1433.973066
-11.16,171,1468.646596
-15.173333,165,1487.237863
-16.786667,174,1507.277654
-11.853333,171,1538.953878
-11.446667,168,1556.517309
-9.516667,174,1579.463541
-17.503333,171,1612.426563
-11.986667,167,1631.666175
-15.223333,168,1663.647473
-9.833333,167,1682.901111
-16.786667,172,1704.3805
-14.406667,166,1739.812468
-21.32,174,1759.917905
-12.13,169,1778.50727
-9.466667,172,1811.083608
-19.716667,162,1827.877598
-13.426667,168,1849.493628
-11.016667,172,1882.681087
-10.193333,175,1902.347534
-9.25,176,1922.605238
-13.446667,172,1957.380719
-14.213333,171,1976.092962
-10.606667,175,1998.936698
-11.913333,173,2035.317236
-17.816667,170,2055.169007
-9.423333,174,2074.697649
-9.323333,176,2107.392992
-9.933333,168,2126.354919
-12.25,175,2149.305895
